RefDes,Value,Part
C1,220nF,399-9686-ND
C2,220nF,399-9686-ND
C3,220nF,399-9686-ND
C4,22U 35V NP,493-6093-ND
C5,2.2n,399-9692-1-ND
C6,220pF,478-4847-ND
C7,2.2n,399-9692-1-ND
C8,2.2n,399-9692-1-ND
C9,10nF,399-5872-ND 
C10,68nF polyprop,495-1292-ND
C11,68nF polyester,399-6036-ND
C12,47pF,445-4722-ND 
C13,56nF polyprop,P12080-ND
C14,56nF polyester,P4522-ND
C15,100nF,493-5955-ND
C16,10nF,399-5872-ND 
C17,100nF,493-5955-ND
C18,220uF 35v NP Electrolytic,P1192-ND
C19,10nF,399-5872-ND 
C20,100nF,493-5955-ND
C21,100nF,493-5955-ND
C22,47nF,399-5873-ND 
C23,100nF,493-5955-ND
C24,47pF,445-4722-ND 
C25,220nF polyprop,P16711-ND
C26,220nF polyester,399-9686-ND
C27,220nF polyprop,P16711-ND
C28,220nF polyester,399-9686-ND
C29,100nF,493-5955-ND
C30,47nF,399-5873-ND 
C31,47nF,399-5873-ND 
C32,100nF,493-5955-ND
C33,220uF 35v NP Electrolytic,P1192-ND
C34,100nF,493-5955-ND
C35,100nF,493-5955-ND
C36,56nF polyprop,P12080-ND
C37,56nF polyprop,P12080-ND
C38,56nF polyester,P4522-ND
C39,56nF polyester,P4522-ND
C40,56nF polyester,P4522-ND
C41,56nF polyester,P4522-ND
C42,220uF 35v NP Electrolytic,P1192-ND
C43,560nF polyprop,PCF1604-ND
C44,560nF polyprop,PCF1604-ND
C45,560nF polyester,BC1634-ND
C46,560nF polyester,BC1634-ND
C47,560nF polyester,BC1634-ND
C48,560nF polyester,BC1634-ND
F1,,507-1173-ND
F2,,507-1173-ND
High1,,PJRAN1X1U01X
In1,,PJRAN1X1U01X
Low1,,PJRAN1X1U01X
Mid1,,PJRAN1X1U01X
R1,1k,RNF18FTD1K00CT-ND
R2,3.32k,RNF18FTD3K32CT-ND
R3,2.2k,S2.2KCACT-ND
R4,2.2k,S2.2KCACT-ND
R5,100,RNF18FTD100RCT-ND
R6,30k,S30KCACT-ND
R7,12k,S12KCACT-ND
R8,180k,S180KCACT-ND
R9,200k,RNF18FTD200KCT-ND
R10,100k,RNF18FTD100KCT-ND 
R11,4.7k,S4.7KCACT-ND
R12,1k,RNF18FTD1K00CT-ND
R13,4.3k,S4.3KCACT-ND
R14,1.5k,S1.5KCACT-ND
R15,2k,S2KCACT-ND
R16,1.5k,S1.5KCACT-ND
R17,1.5k,S1.5KCACT-ND
R18,1k,RNF18FTD1K00CT-ND
R19,3k,S3KCACT-ND
R20,1.6k,S1.6KCACT-ND 
R21,1.8k,S1.8KCACT-ND
R22,1.1k,S1.1KCACT-ND
R23,2.2k,S2.2KCACT-ND
R24,1k,RNF18FTD1K00CT-ND
R25,3k,S3KCACT-ND
R26,1k,RNF18FTD1K00CT-ND
R27,1k,RNF18FTD1K00CT-ND
R28,1k,RNF18FTD1K00CT-ND
R29,2k,S2KCACT-ND
R30,1.8k,S1.8KCACT-ND
R31,56k,S56KCACT-ND
R32,220 POT,201XR251B-ND
R33,110,S110CACT-ND
R34,20k,S20KCACT-ND
R35,2.7k,S2.7KCACT-ND
R36,2k,S2KCACT-ND
R37,1k,RNF18FTD1K00CT-ND
R38,1.6k,S1.6KCACT-ND
R39,1k,RNF18FTD1K00CT-ND
R40,15k,S15KCACT-ND
R41,18k,S18KCACT-ND
R42,4.7k,S4.7KCACT-ND 
R43,15k,S15KCACT-ND
R44,18k,S18KCACT-ND
R45,1k,RNF18FTD1K00CT-ND
R46,8.2k,S8.2KCACT-ND
R47,8.2k,S8.2KCACT-ND
R48,8.2k,S8.2KCACT-ND
R49,8.2k,S8.2KCACT-ND
R50,2k,S2KCACT-ND
R51,3.3k,S3.3KCACT-ND
R52,4.3k,S4.3KCACT-ND
R53,330,S330CACT-ND
R54,220 POT,201XR251B-ND
R55,1.3k,S1.3KCACT-ND
R56,1.5k,S1.5KCACT-ND
R57,1.3k,S1.3KCACT-ND
R58,1.5k,S1.5KCACT-ND
R59,1.6k,S1.6KCACT-ND
R60,1.6k,S1.6KCACT-ND
R61,1.6k,S1.6KCACT-ND
R62,1.6k,S1.6KCACT-ND
R63,110,S110CACT-ND
R64,2.7k,S2.7KCACT-ND
R65,3k,S3KCACT-ND
R66,2.7k,S2.7KCACT-ND
R67,3k,S3KCACT-ND
R68,3.6k,S3.6KCACT-ND
R69,3.6k,S3.6KCACT-ND
R70,3.6k,S3.6KCACT-ND
R71,3.6k,S3.6KCACT-ND
R72,360,S360CACT-ND
R73,180,S180CACT-ND
U1,NE5532 or LM4562,LM4562NA/NOPB-ND
U2,NE5532,296-1410-5-ND
U3,NE5532,296-1410-5-ND
U4,NE5532,296-1410-5-ND
U5,NE5532,296-1410-5-ND
U6,NE5532,296-1410-5-ND
U7,NE5532,296-1410-5-ND
U8,NE5532,296-1410-5-ND
U9,NE5532,296-1410-5-ND
socket,,ED60000-ND
socket,,ED60000-ND
socket,,ED60000-ND
socket,,ED60000-ND
socket,,ED60000-ND
socket,,ED60000-ND
socket,,ED60000-ND
socket,,ED60000-ND
socket,,ED60000-ND
